Cieplarka *;KBCG-100/250;15567;Dremed;1995;Zalim;Pracownia Immunologii Transfuzjologii ;;;2021-06-11;8-80-802-1/719;;
Cieplarka *; B12-;40243984;KendroMed;2002;SERVMED;HISTOPATOLOGIA;;;2022-06-10;8-80-802-9/500;;
Cieplarka laboratoryjna *;CLN 15 SMART;CN 15210004;PolEco Aparatura;2021;Pol Eco Aparatura;Pracownia Immunologii Transfuzjologii ;;;2021-05-21;;gwarancja 24- m-ce;
Defibrylator ;M-Series -;T 04I63318;ZOLL;2004;Koperwas;Transport;;Anes-med.;2022-12-14;8-80-802-1/194;w karetce;do przeglądu
Defibrylator - uzyczony *;Heard Star;CN 73902729;Philips;2021;gwar do 22.12.2023;Kardiologiczny;;;2023-02-03;;Podkarpacki Urząd Wojewódzki um 93/ZK/2020 Covid;
Defibrylator ( P 9 )  ;Lifepak 15 -;SN38332354;MedTronik Poland;2009;Mielec;Mielec;;Anes-med.;2021-12-17;7-74-743-1/11;KARETKA;do przeglądu
Defibrylator (3)  *;Lifepack 20 e;47679816;Pchysio Control;2018;Stryker;Blok Operacyjny / Okulistyka;;;2021-04-09;4312;gwarancja 36 m-cy umowa 258/ZP/UE/18;
Defibrylator (3) *;Lifepack 20 e;47595067;Physio Control;2018;Stryker;Blok Operacyjny / Anestezjologii i Intensywnej Terapii;;;2021-11-09;4313;gwarancja 36-mcy umowa 258/ZP/UE/18;
Defibrylator (S);Lifepak 15 -;43069304;multitech 3g;2014;Mielec;Mielec;;;2021-12-17;3798;KARETKA;GWARANCJA 15-02-2017
Defibrylator *;M-Series -;T 02L41772;ZOLL;2002;Koperwas;SOR;;Anes-med.;2022-12-15;8-80-802-9/518;4687;
Defibrylator *;ZOLL AED PRO -;AA 06GT003822/ nowy nr.001725;ZOLL/ w paszp. Zoll Medical Corporation ;2006;Kopoerwas;SOR;;Anes-med.;2022-12-15;8-80-802-2/790;;
Defibrylator *;Lifepak 15 -;SN38332759;MedTronik Poland;2009;Koperwas;SOR;;Anes-med.;2022-03-03;7-74-743-1/15;KARETKA;do przeglądu
Defibrylator *;LIFEPAK 20;47656780;STRYKER;2018;Koperwas;SOR;;;2023-02-08;4278;gwarancja 36 m-cy, umowa258/ZP//UE/18;
Defibrylator *;Cardio Aid MC+;12006313;Medico Teknik ;1997;Koperwas;Oddział Pediatryczny;;DT;2022-12-07;8-80-802-8/5;;
Defibrylator *; M-Series-;T09I115245;ZOLL;2009;Koperwas;Neurologia;;Paramedica Polska;2022-12-15;8-80-802-2/840;;
Defibrylator *;Defi Max Biphasic;4140618;Emtel;2014;Koperwas;Chorób Wewnętrznych i Gastroenterologii;;;2022-12-07;3666;;
Defibrylator *;Series-M-;TOZf33318;ZOLL;2002;Koperwas;Blok Operacyjny;;Zakłady naprawcze;2021-12-15;8-80-802-9\470;;
Defibrylator * notatka bezpieczeństwa;Lifepak 15 -;SN38288823;MedTronik Poland;2009;Koperwas;SOR;;Anes-med.;2022-03-03;7-74-743-1/12;KARETKA;do przeglądu
Defibrylator + pulsoksymetr  M-Sereis*  ;M-Series -/ 42221511100103040;T 05G72470;ZOLL;2008;Koperwas;SOR;;Anes-med.;1512.2022;8-80-802-4/27;;
Defibrylator + pulsoksymetr *;BPH/PAC/ACLS/SPO2/12L/DC/NIBP;T 08B98931 -;ZOLL;2008;Koperwas;Transport;;Anes-med.;2022-12-15;8-80-802-1/946;;
Defibrylator + pulsoksymetr *;BPH/AAC/ACLS/SPO2/12L/DC;T 07L97970 -;ZOLL;2008;Koperwas;SOR;;Anes-med.;2022-12-15;8-80-802-1/947;;
Defibrylator BASIC *;M-SERIES z wypos.-;TO2D32405 ;ZOLL;2002;Koperwas;Anestezjologii i Intensywnej Terapii;;DT;2022-12-15;8-80-802-9/479;;
Defibrylator CARDIO *;45895-1-;12113292;Ax MEDI TEC;2001;Koperwas;Chirurgia Ogólna i Onkologiczna;;DT;2022-12-07;8-80-802-1/170;;
Defibrylator Defigard 1002 +pulsoksymetr *;1002-;43900544;Bruker;2000;Koperwas;Przychodnia Nocna i Świąteczna Opieka;;DT;2022-12-15;8-80-802-1/164;do wymiany akumulator warunk dop 12.2017;
Defibrylator Defigard*;1002 D/MR;43900543;Bruker;2000;Koperwas;Ortopedia;;DT;2022-12-15;8-80-802-5/74;;
Defibrylator dwufazowy * covid ;Responder 2000-;3204676;MDOS;2011;Koperwas;Kardiologiczny;;;2022-12-15;8-80-802-2/216;na gwarancji;
Defibrylator Lifepack *;Lifepak 20 ;30873326;;2016;Koperwas;Chorób Wewnętrznych i Gastroenterologii;;;2022-03-03;3977;;
Defibrylator Lifepack 15 ( P8 );Lifepack 15;45210876;Physio Control;2016;Mielec;Mielec;;;2021-12-17;4684;;
Defibrylator z ładowarką MC+RXX  *;CARDIO-AID TM MC -;10974891;SAW-Medico-TECNIC;1996;Koperwas;Anestezjologii i Intensywnej Terapii;;DT;2022-12-07;8-80-802-4/57;;
Defibrylator*;Cardio Aid MC;12005259;Medico Technik;1997;Koperwas;Pracownia EKG;;;2022-12-07;8-80-802-9/10;;do przeglądu
Defibrylator*;Cardio-Aid MC+-;12008493;Medico Teknik-Denmark;1997;Koperwas;Kardiologiczny/ OIOK;;DT;2022-12-07;8-80-802-9/9;;
Dermatom elektr +zasilacz+siatka+rekojeść  *;8821-;2081/ w paszp. 200585;Zimmen;1998;Koperwas;Blok Operacyjny;;DT;2023-02-07;8-80-802-5\46;;
Dermatom elektryczny *;8821;209304;ZIMMER;2021;Koperwas;Blok Operacyjny;;;2023-02-07;;WOŚP;
Dermatom pneumatycznyr  z wyposaż *;Zimmen-;30595/ w paszp. 200801;Zimmen;2005;Koperwas;Blok Operacyjny;;DT;2023-02-07;8-80-802-1\892;;
Dermatom siatkujący z kasetą *;Zimmer;zestaw- 105739;Zimmen;2001;Koperwas;Blok Operacyjny;;DT;2023-02-07;8-80-802-1/181;;
Detektor tętna płodu - przegl co 2 lata *;VITALFIC F 20/STAR5000A;88193966;Forel Medical;2017;Zalim;Położniczo - Ginekologiczny i Patologii Ciąży;;;2020-11-27;;przegląd co dwa lata ;
Detektor tętna płodu - przegl co 2 lata *;VITALFIC F 20/STAR5000A;88193977;Forel Medical;2017;Zalim;Ginekologiczny;;;2020-11-27;;przegląd co dwa lata ;
Detektor tętna płodu *;UDT 300 -;1016;BRAEL;1999;Zalim;Położniczo - Ginekologiczny i Patologii Ciąży;;DT;2022-01-25;8-80-802- 1/597;;zlikwidowany
Diatermia (sala kardiochirurgiczna) *;VIO 300D;11408446;ERBE;2018;Meriko;Blok Operacyjny / Okulistyka;;;2022-12-13;4454;gwarancja 12 m-cy umowa 30/ZP//19;
Diatermia -aparat do diatermii krótkofalowej - uszkodzona *;SW500TS;SW2165;EMILDUE;2010;Technomex;Dział Rehabilitacji i Fizykoterapii;;;2020-10-16;8-80-802-8/859;;
Diatermia chirurgiczna  *;ICC350-;F 1484;Erbe;1999;Meriko;Sala Cięć Cesarskich;;Er med s.c.;2021-12-21;8-80-802- 9/72;;
Diatermia chirurgiczna *;ICC350-;D-1053;Erbe;2001;Meriko;Blok Operacyjny;;Er med s.c.;2022-12-13;80-80-802-5/72;;
Diatermia chirurgiczna Erbotom z wypos *;ICC300-;F-1625;Erbe;2001;Meriko;Blok Operacyjny;;Er med s.c.;2022-12-13;80-80-802-1/184;;
Diatermia chirurgiczna Erbotom z wypos *;ICC300-;F-1614;Erbe;2001;Meriko;Blok Operacyjny;;Er med s.c.;2022-12-13;80-80-802-1/183;;
Diatermia chirurgiczna Erbotom z wypos *;ICC300-;F-1624;Erbe;2001;Meriko;Blok Operacyjny;;Er med s.c.;2022-12-13;80-80-802-1/185;;
Diatermia elektrochirurgiczna ;Surtron;3630137885;Marodent;2013;zalim;Dział Konsultacyjno- Leczniczy;;;2021-11-27;8-80-802-2/245;Nowa;
Diatermia elektrochirurgiczna *;ICC-300 -;F-2638;Erbe;2004;Meriko;Ginekologiczny;;DT;2022-12-13;8-80-802- 1/548;;
DIATERMIA LANCETRON ICC 300 *;ERBE 20185-;10128-32/A1303;ERBE;1995;Meriko;Okulistyka;;;2022-12-13;8-80-802-4/9;2013-04-02 data rozp.eksploat.;
